,Date,Title
0,20210101,팔아서 후회중
1,20210101,떡국나눔행사 개최
2,20210102,올해도 결국 실적뽑네 이노무 회사 ㅋㅋㅋ
3,20210102,긴급 레버리지배배 고수익 재테크 실체
4,20210104,인플레 수혜주라서
6,20210104,엉덩이 너무 무거운거 아닙니까
7,20210104,은값 오르는데 왜 흐르냐 ㅋㅋㅋ
8,20210104,분기실적이
9,20210104,개월만에 포기
10,20210104,주가지수포인트 확실하다
11,20210104,솔찍히 환율때매 수출이 안좋아진다
12,20210104,얘기가 맞나 모르겠는데
13,20210104,금은아연납구리 죄다 폭등중인데
14,20210104,대단한놈임
15,20210104,한솔제지 고려아연
16,20210104,축하합니다
17,20210105,월일 시 원재 값이 많이 오르네요
18,20210105,Good morning
19,20210105,원재 추세는 길지
20,20210105,얼마보시나요
21,20210105,얘 갑기 왜이럼
23,20210105,오랜  침묵을  깨고
24,20210105,갑기 세력 들어왔네요
25,20210105,역시 갈 타이밍이었어 ㅋㅋ
26,20210105,내눈이 똥눈은 아닌듯
27,20210105,아는 종목에 투하는 것이 제일 안전하다는
28,20210105,토론방 진짜 웃기네
29,20210105,이것도 철도테마주아닌가
30,20210105,늦었다싶었는데
32,20210105,에 들어온 사람인데
33,20210105,원재는 한번 상승하면 추세가 년
34,20210105,아연이 오늘 상한가 갔네
35,20210105,팔고나면  후회  하고
36,20210105,배당도 챙겼고 익절하고 갑니다
37,20210105,영풍정밀 관계사 저가매수기회
38,20210105,층에 사서 오래 기다렸다 
39,20210105,토론방에 그분 기억하시는 분
40,20210105,아연아  아연아 아연아
41,20210105,프로 수익실현완료
42,20210105,고려아연 감사
43,20210105,사람마음 참 간사해요 
44,20210105,왜 오른지 알면 안 팔텐데
45,20210105,이런게 너무좋지 신용등급 A 짜리라
46,20210105,매도 금지 긴급발동
47,20210105,원재 상승 폐기물 처리장
48,20210105,내 주식 돌리도
49,20210105,전량매도
50,20210105,억 에 팔았는데
52,20210105,아싸아
53,20210105,오  예
54,20210105,기다린 보람이 ㅜㅜ
55,20210105,빠져나갑니다 여러분
56,20210105,아연이 돌았니 
57,20210105,영풍정밀 관계사 저가매수기회 
58,20210105,수익내고 나갑니다
59,20210105,아연이 우리 아연이 우쭈쭈
60,20210105,머선
61,20210105,아 나갈까말까 고민  더오를거 같은데
62,20210105,궁딩이 팡팡 아연이
63,20210105,아연이 미친거니 외인이 미친거니
64,20210105,목표가 만원
65,20210105,오늘 분위기 별로예요
66,20210105,달러약세 현물가격인상에 대하여
67,20210105,금은 폭등 폐기물 대참사
68,20210105,과거   영광   재현
69,20210105,후주린이 어제 매도했는데
70,20210105,악 그만올라
71,20210105,손가락 르고싶다ㅋㅋ 아오 시바
72,20210105,아까 글썼던 사람입니다
73,20210105,고생했습니다
74,20210105,큰손 들어오네
75,20210105,세상에
76,20210105,삼성전 지원 폐증 조현병 치매 치료 실마리 네이처 게재
77,20210105,신용미수전재산몰빵 상가 집산다 
78,20210105,Good
79,20210105,쉽게 생각하는 투 아이디어
80,20210105,시작된  랠리
81,20210105,붙들고 있으면 큰수익 줄듯
82,20210105,그랜저 뽑앗다는 놈 웃기네ㅋㅋ
