,Date,Title
0,20220310,포스코케미칼 003670 _종목 상담_김현구의 주식 코치 2부  20220305 
1,20220609,포스코케미칼 003670 _종목 상담_주식 챔피언 쇼  20220609 
2,20210424,포스코  포스코케미칼의 주가상승이 큰 이유  돈 벌려면 이 주식에 하세요    차영주 소장
3,20220527, 주식청 등락 알리미  현대사료 하림 포스코케미칼 노터스   매일경제TV
4,20220328, 포스코케미칼 주가전망   속보  물적분할 XX된다   포스코지주사  주주총의 특별결의  
5,20220318,종목의 참견 ep 34 전기차 수요 둔화  포스코케미칼의 포지션은    오리온   삼성sdi   한화솔루션   강흥보 센터장   조현민 앵커   경제   주식  
6,20211126,포스코케미칼 003670     2차전지 소재  다시 주목  포트폴리오 다각화_기대해도 괜찮아  20211126 
7,20220524, 05 24  KEDI30 혁신기업  포스코케미칼   나의 투자 전략   한국경제TV
8,20210309, 익절의 기술  테슬라의 몰락   포스코케미칼 좋지만 일단 익절   머니투데이방송  증시  증권 
9,20220318,포스코홀딩스  미래소재 기업으로 변화  남은 과제는    머니투데이방송  뉴스 
10,20220405,포스코케미칼 만도 KT 오킨스전자 삼성SDI 데이터솔루션 씨에스베어링 앱클론 대명소노시즌 미코 코오롱인더 정원엔시스 신풍제약 선진 빙그레 녹십자_주식 챔피언 쇼  20220405 
11,20220521,후성  솔루스첨단소재  포스코케미칼  팜스코  위메이트플레이  우진비앤지  광명전기_구미영의 성공풀이 종목 꿀단지  20220521 
12,20220415, 04 15  오늘의 KEDI30 기업  하이브 포스코케미칼   나의 투자 전략   한국경제TV
13,20220609,포스코케미칼 한전기술 이마트 롯데지주 KG이니시스 대상 캠시스 YG PLUS 폴라리스세원 이지트로닉스 한국종합기술 아모레G 일동홀딩스 한화시스템_주식 챔피언 쇼  20220609 
14,20220527, 이 종목이 수상하다  NAVER 포스코케미칼 제주항공 SK가스   매일경제TV
15,20220328,엘앤에프    성장성 기대 VS 포스코케미칼    포스코 그룹의 든든한 지원_대안주를 찾아라  20220328 
16,20220305,영진약품 하나기술 캐리소프트 드림시큐리티 롯데지주 유니슨 LG에너지솔루션 SK SDN 와이지감소원 서린바이오 포스코케미칼 경농 선익시스템_김현구의 주식 코치 2부  20220305 
17,20220426, 4시에 만나는 미래  포스코케미칼 감소 포스코그룹 핵심 관계자   2022 4 26  화 
18,20220510, 5월10일 화  포스코케미칼  장기 고성장 한다 
19,20211202,글로벌 배터리 소재사로  우뚝   포스코케미칼  GM 손잡고 美진출  20211202 
20,20220411,포스코케미칼    성장성 기대 VS 케파 확대라면 에코프로비엠 우위_기대해도 괜찮아  20220411 
21,20220613, 주간 유망 종목  철저하게 싼 주식을 보자
22,20220517, 포스코케미칼  2차전지 걱정없이 투자할것 감소 포스코케미칼주가전망 포스코케미칼주가 포스코케미칼전망 포스코케미칼분석 포스코케미칼목표가 2차전지 전기차 음극재 양극재
23,20220616, 포스코케미칼  2차 전지 대장주 등극  주가 150  갑니다 상승 시기 정확하게 알려 드립니다   꼭 영상 확인하셔서 기회 잡으시길 바랍니다 
24,20220623,원준 382480  1주당 2주 무상증자 포스코케미칼 양극재 장비 계약체결
25,20220617, 수급파이터  코스모신소재 VS 포스코케미칼 SK하이닉스 VS 현대미포조선 외인 기관 탑픽은    매일경제TV
26,20220617, 포스코케미칼  2차 급등 시기 포착  주가 120  갑니다 놓치시면 후회하십니다  정확하게 알려드립니다 영상 꼭 시청 바랍니다 
27,20220520,골든센츄리 우양 대우부품 현대엘리베이 SK스퀘어 고려시멘트 피엔티 포스코케미칼 서플러스글로벌 명신산업 한화솔루션 더블유게임즈 푸드웰 IHQ_주식 챔피언 쇼  20220520 
28,20220529,엘앤에프 양극재 7 2조원  에코프로비엠 양극재 10조원  포스코케미칼 양극재 20조원 수주
29,20220530,포스코케미칼  GM과 양극재 합작공장 설립   주가 영향은 ㅣ상승한다면 얼마까지 가능할까 ㅣ포스코케미칼  차트분석 및 주가 전망ㅣ출연 황윤석 대표
30,20211202,포스코케미칼  GM과 북미 양극재 시장 진출
31,20220415, 염이사의 일일시황  삼성전자 주가 지금 바닥 맞나    염승환   삼성전자   대한항공   삼성에스디에스   포스코케미칼   주식  
32,20220628, 시청자 징징이 사연31  징징이 특  뉴스에 산다  정프로의 방과후 징징쇼_포스코케미칼 
33,20220615, 포스코케미칼  엄청난 계약과 기술력으로 뭉친 포스코케미칼  상승시기 분석해드립니다  2차상승은 이때부터  
34,20220421,외국인 매도세 줄었다  지금 봐야할 업종   에코프로비엠  코스모신소재  NEW  휴젤  하이트진로  포스코케미칼   라스트찬스  한국경제TV
35,20220615,한국항공우주  포스코케미칼  나래나노텍  큐라클  사조대림  두산밥캣  대모  이루다  KC그린홀딩스_이데일리ON 김대호_종목상담 119  20220615 
36,20220701, 포스코케미칼  유럽에 배터리공급관련이슈   이번주 중요대응법은    
