,Date,Title
0,20210101,새해 첫글이네욤
1,20210101,만원에매수해 매도중 
2,20210101,돈도 안들고 청약하러갔나미련한아지매네그남편누군지피곤하긋다 ㅋㅋ
3,20210101,만원에 들어간사람도 인정해줍니까
4,20210101, SDI  갈아온 발톱을 드러내는 한 해가 될 듯
5,20210101,많은 전문가들이 에둘러서 sdi밀었던 이유는
6,20210101,미국의 중국 깡력 제재는 한국에게 오히려 불리하게 작용할겨
7,20210101,년의 목표
8,20210103,마트 모빌리티 시대와 이차전지 시장
10,20210101,주식도 안하니오늘 겁나심심하네요 
11,20210101,테슬라  배터리 직접생산 시작
14,20210101,삼성sdi 더갑니다 주식분석 및 상승여력전망
15,20210101,미국 이란에 B 폭격기 또 급파이란 단거리 미사일 이라크 이동 새해 양국 긴장 최고조
16,20210101,삼성 sdi
17,20210101,긴급 레버리지배배 고수익 재테크 실체
18,20210101,새해 인사
19,20210101,전고체 테마 불아
20,20210101,금융 감독원 관계님 
21,20210102,대폭락 임박
23,20210102,전기차 사면 안되는 이유
26,20210102, 전고체 
27,20210102,삼성전기차 가능성은
28,20210102,삼성SDI가 투했는데 주가는 급락  YouTube
29,20210102,수정 업중국의 수출 증가가 한국에 미치는 긍정적 효과가 감소하고 있다
30,20210102,삼성SDI 직무소개 제조 편  YouTube
31,20210102,슬슬 무증할때 됨
32,20210102,대x제약
33,20210102,쥬린이들드루와드루와 일이평의비밀이랑 검색기받아가용 
34,20210102,부탁을 드릴수 없을까요
35,20210102,연휴가너무깁니다 내일도 안한다니ㅠ
36,20210102,만원에 매수해 부분적매도중 
37,20210103,속보삼성전완성차 사업 안한다
38,20210103,그래서
39,20210103,만원대샀다가 만원됐다고 좋다고 판 내가
41,20210103, 사명 교체
42,20210103,언제까지 갈건가 
43,20210103,빨리 빨리
44,20210103,억투로 억진행중
45,20210103,이재용 좀 살려줍시다 ㅠㅜ
47,20210103,친구
48,20210103,나에게 삼성SDI는 OOO이다  YouTube
49,20210103,미국 에너지청 료 보니
50,20210103,일본인이 청와대 청원이 가능한 방법신분세탁 방법
51,20210103,삼성SDI 현대차에 배터리 첫 공급 임박
52,20210103,삼성SDI 현대차에 배터리 첫 공급 임박아래 기사내용 참조
53,20210103,미국 에너지청 료  년만에 온 기회 신재생에너지
54,20210103,동차는 년 신재생 에너지는 년의 변화
55,20210103,전기차 보조금 삭감
56,20210103,문
58,20210103,지금 들어가면 늦었나요
60,20210103,소방차
61,20210103,새해
62,20210103,내일
63,20210103,기사에서 Key word 찾기
64,20210103,증시  이상 조정 또는 그 이상의 대폭락
65,20210103,개미인 내가 돈을 잃고 벌면서 결국 전 재산 날린 얘기
66,20210103,단독삼성sdi 현대차에 배터리첫 공급임박
67,20210103,삼성  sk
68,20210103,차sk  차 엘지 차 삼디 sk이면
69,20210103,드디어 내일이구나
70,20210104,현대차 삼디
71,20210104,합격 통보를 받은 당시 주변의 반응은  YouTube
72,20210104, 나왔다 팔고 나와라
74,20210104, 대박
75,20210104,상한가 한번 가봅시다
76,20210104,평단가 원 주
78,20210104,현대
79,20210104,본좌다 흑우들아
83,20210104,삼성이 뭐가 아쉬워서 악덕 현대에 팔아
84,20210104,왜 시작안해요
86,20210104,불 불  불
87,20210104,삼성SDI 수주 영향 코멘트
88,20210104,신축년의 기대주
89,20210104,장전 너무오른다 ㅜ
90,20210104,만원가
92,20210104,정도
93,20210104,일단 갭 출발알  가즈아 년의 재생 에너지 기회
94,20210104,아씨 바로들갈라했는데 왜케올라
95,20210104,뭔데
96,20210104,욀케 오르는거임
97,20210104,대장주에 안티질하면 사망합니다
98,20210104, 때기네 ㅋㅋ
99,20210104,년동안 상승 가즈아
100,20210104,ㅠ ㅠ 시간외로 왜 팔았을까 너무 아쉽네 
101,20210104,시가 너무 높다 시긴 최고점이겠구나
102,20210104,난혼라도
103,20210104,오르는건 좋은데
104,20210104,에 팔아라 이미 선반영
105,20210104,만원 간다고 했지
106,20210104,차전지 현실은 아직 적 아니냐 에 팔아라
107,20210104,년동안 상승할거임
108,20210104,이재용을 믿습니다
109,20210104,역시
110,20210104,오늘이 끝 설거지 시작
111,20210104,오늘
112,20210104,올해는
113,20210104,만원대까지 쭉쭉
114,20210104,개인투
115,20210104,삼성sdi 하고 sk이노베이션
116,20210104,뭔 내가 사마 떨구냐
117,20210104,와 그냥씹운지하네
118,20210104,내는 안다
119,20210104,sdi도 코인주인데
120,20210104,sdi 대장주래서
121,20210104,어우 개고평가 ㄷㄷㄷ
122,20210104,오늘 종가맞추기 해볼까요
125,20210104,전기차 
126,20210104,물렸다 
127,20210104,엘화에서 왔다
128,20210104,만에 
129,20210104,매도마렵 ㅠ
130,20210104,원 주 추가매수요
131,20210104,정초부터what 
132,20210104,한국경제에서
133,20210104,년동안 오를거야 지금 시작이야
134,20210104,삼디야 어디까지니
135,20210104,외국인은 입질을 안하네
137,20210104,내삼디ㅠ
139,20210104,사중 
140,20210104,오늘이 개미 무덤 
141,20210104,아니 이걸 더 올린다고
142,20210104,방금 내가 잘못본거지
143,20210104,보고
144,20210104,불
145,20210104,물반 고기반
147,20210104,모두  축하드립니다
148,20210104,오늘도
150,20210104,층 주민입니다
151,20210104,주주님들 전고체 테마 기다리삼 느긋하게
153,20210104,끄악
154,20210104,올
156,20210104,년만의 기회 기억하삼
157,20210104,제약주인가
158,20210104,머야
159,20210104,수익률
160,20210104,어제
161,20210104,평단 
162,20210104,미쳤다
163,20210104,와 무섭게 오른다
164,20210104,백만 가면 이제 아무도 구매못할건데
165,20210104,상한가
166,20210104,만 ㅎㅎ
167,20210104,
