,Date,Title
0,20210101,주주님들 물들어 올때 노를 저어 봅니다
1,20210101,공매도에대해
2,20210101,년
3,20210101,신주권 매수
4,20210102,올해는 전기차 패러다임
6,20210101,신주인수권 매수하면
7,20210101,인쟈 주린이들 헛짓거리하는 질문
8,20210102,신주인수권 금액
9,20210102,얘는      
10,20210102,우리사주
11,20210102,똥파리들 극성거리네요
12,20210102,새해가되서 개들이 짖어도 년 기관 순매수위
13,20210102,년 주식시장 개장을 기다리며
14,20210102,니 머릿속에 있너
15,20210102,질문
16,20210102,청약관련 질문요
17,20210102,찬티밖에 없네 연락기다린다
19,20210102,나 만
20,20210102,전문가 상담 필독
21,20210103,손쓸 시간도 없이 순식간에
22,20210103,이거사고 싶은데
23,20210103,개미장군
24,20210103,신주상장예정일이 일이던데
25,20210103,배당
26,20210103,기술적분석 끝
27,20210103,금융문맹인 내가 주식으로 전 재산을 잃는 과정
28,20210103,단독 주린이 삼성SDI로 몰리나현대차 배터리 공급후보 
29,20210103,찬티 안티 넘 많네
30,20210104,포케 내년에는 만원보일거같은데
31,20210104,장투주린tip쓰나마나한 기사ㅋ펌
32,20210104,포케
33,20210104,금일 시부터 장시작
34,20210104,포케주주님과 임직원님들
35,20210104,목표가 만원
36,20210104,롯데케미칼 음극제양극제 시장 진출
37,20210104,신주인수권 넘비싸
38,20210104,움직이네 ㅋ
39,20210104,가는거냐
40,20210104,신주가 R인가요
41,20210104,Sk이노랑 먼가 있는거 같은데
42,20210104,굿럭
43,20210104,예상대로 새해 첫날 강세
44,20210104,이제 만윈
45,20210104,신주인수권 사는거 현황 어디서
46,20210104,눌렸던 프링 튕깁니다
47,20210104,개떡상이네
48,20210104,역시 일선 올라올때까지
49,20210104,이제만못본다고
50,20210104,내가말했잖아 만 몬본다고
51,20210104,아니 신주인수권 인수현황
52,20210104,신주인수권 매도
53,20210104,신한 프매도 삼만주 이상
54,20210104,포케 투 일째
55,20210104,신주 어떻게 사나요
56,20210104,본주는  상승인데 신주인수권은  상승중
57,20210104,성장주는 지금이 제일싸다
58,20210104,이게 제일 아깝네
59,20210104,개미들은 팔아라 ㅋㅋㅋㄱ
60,20210104,코피개관들 개미에게 혼쭐 ㅋ
61,20210104,만 안착은 쉽게
62,20210104,털고나갑니다
63,20210104,신주
64,20210104,연기금 주 들어왔다 
65,20210104,흐름좋으니 진득 기다리삼
66,20210104,형님들 내가 주가 흐름이 심상치 않다 했잖아
67,20210104,신주권
68,20210104,예언 적중
69,20210104,포케는
70,20210104,연기금 오만주 매수
71,20210104,현재수익률 퍼
72,20210104,엘앤에프는 탄력적으로 움직이는데 갑기 지수 상승인데 안오른다
73,20210104,날라가네융  선배님들 주린이 입니다
74,20210104,년 포케 동지분들
75,20210104,오늘 리 축하 드립니다
76,20210104,평단 만천 억
77,20210104,만 가즈아
78,20210104,조금 산건 마니가요거참 신기하네
79,20210104,목표가 수정
80,20210104,VI
81,20210104,시발가즈아
82,20210104,신한 어쩔까나
83,20210104,포케 vi 머선일이고
84,20210104,지금이라도 늦지않았음 지금이라도 타면됨 날아라
85,20210104,오늘 더이상 안오르는게 좋다
86,20210104,무슨 일이고
87,20210104,신주인수권 배정받고 청약신청때 줄이면
88,20210104,안티가 아닌 바퀴벌레 님들 고맙소
89,20210104,날라간다 머선일이노 ㅋ
90,20210104,vi찍고 쭉쭉좀 가지 또 내려올려고 폼잡냐
91,20210104,지금 타기엔 늦었을까여 
92,20210104,내가말했다 내말은 곧 진리지
93,20210104,외인 기관 매수세가
94,20210104,노빠꾸 노 브레이크
95,20210104,워워 천천히 갑시다
96,20210104,계속 홀딩입니다ㅋ
97,20210104,해외에 갖고 있는 광산이 얼마짜리인가요
98,20210104,인수권 가격원
99,20210104,워매ㅜㅜ 이러다 유증가 올라가늘 거 아닌가요
100,20210104,만은 가겠네요 최소
101,20210104,한꺼번에
102,20210104,손떨려
103,20210104,포케 입성했습니다
104,20210104,유증가 올라갈 확률 발생
105,20210104,살앙해요
106,20210104,신주인수권 높아서요
107,20210104,역시
108,20210104,또 뭐선일 있나
109,20210104,와개월 기다리니
110,20210104,음 신주인수권은 상한가 없나
111,20210104,신주인수권은 상한이 없나요 
112,20210104,시원하게 오늘 상말
113,20210104,헐
114,20210104,진짜 미쳤다
115,20210104,상한가도 보겠네요
116,20210104,포케여 가
117,20210104,아
118,20210104,가
119,20210104,잠깐만
120,20210104,이거 왜 오른것인가요
121,20210104,지금 들어가도 될까요
122,20210104,신주권우와
123,20210104,가즈아
124,20210104,매도 안녕히계세요
125,20210104,좀 시원하게 가 새기들아
126,20210104,얘 
127,20210104,아이고 저번주에 샀는대
128,20210104,음그새 신주인수권 프로상승
129,20210104,난리났네 난리났어
130,20210104,포코 케미칼사령관님의 지휘덕분에 감사합니다
131,20210104,털릴놈은 털린다
132,20210104,신주인수권은 상한가가 없군요 ㅋ
133,20210104,OOO 그만좀 하
134,20210104,조금 올랐다고 그새 파는 개미들
135,20210104,아직은 픽션입니다만
136,20210104, 
137,20210104,권리락에 에 줍줍한게 와우
138,20210104,뭐 종가는 수준으로 
139,20210104,왜파냐  딱봐도 터는거같은데
140,20210104,고점에 물렸다
141,20210104,이런 미르띤
142,20210104,삼화전기
143,20210104,어어어 하다가 만원와요 포케 중장기 가치주
144,20210104,보유 홀딩 단타도 홀딩 간다
145,20210104,사면 물리네
146,20210104,코피외인 순매수 전환
147,20210104,제가 포코케미칼 R 을
148,20210104,또 광고쟁이들 몰려오네
149,20210104,오늘 여기서만 끝나도 대박이다
150,20210104,아흑 고만올라 천천히 가쟈 포케야
151,20210104,오후에 상한가 간다
152,20210104,게이들아 유증 가격 보고 정ㅅㄴ차려
153,20210104,신주인수권문의
154,20210104,오늘 왜이런거예요
155,20210104,고일어났는데
156,20210104,포코 양극재 공장 소재 공단 대개발
157,20210104,키움에서 포케 유증예약은 언제부터되나요
158,20210104,유증확정가는  언제인가요
159,20210104,키움에서 포코케미칼 R 매도 방법
160,20210104,신주인수권
161,20210104,광고충새키들 OOO
162,20210104,빼지마
163,20210104,이거
164,20210104,포코케미칼 신주권 지금사도 가격싸네요 ㅋㅋ
165,20210104,불기둥
166,20210104,만주씩 쓸어담네 ㅋㅋㅋㅋ
167,20210104,평단 만 천원인데
168,20210104,꼼짝마
169,20210104,가즈아 가즈아 영차 영차
170,20210104,개잡주
171,20210104,와 내일기대된다 오늘 다쓸어담네 ㅋㅋㅋㅋ
172,20210104,원 주 주주입니다
173,20210104,유증가격
174,20210104,한방에 프매수 이만여주
176,20210104,역시 신주인수권 거래도 꿀이네
177,20210104,유증이 악재라고 지롤 떨던 넘들 ㅋㅋㅋ
178,20210104,층 공사 끝나갑니다
179,20210104,포케 만세다
180,20210104,로또 당첨
182,20210104,포케지키미 ew 
183,20210104,R 장사로 퍼 먹고 나간다 ㅅㄱ
184,20210104,천만원 아리가또고이마
185,20210104,금일 매동
186,20210104,ㅈㄴ 든든하다
187,20210104,본주도 털리고ㅎㅎ
188,20210104,신주인수권 개털린 개미들 ㅋ
189,20210104,유증확정가 얼마나 될까요
190,20210104,유상증 관련 질문
191,20210104,포코 그룹 미래먹거리는 포케 양극재 음극재 소재로
192,20210104,유상청약 관련 질문 주린이
193,20210104,신주권 발행으로 유상증하면 하따 맞는거아니냐
194,20210104,계산좀
195,20210104,주린입니다 신고가 맞나요
196,20210104,형님들 궁금합니다 꼭 알려주세여
197,20210104,집 나간 똥강아지를 찾습니다
198,20210104, 만원을 향해  순항중
199,20210104,저는 왜 신주인수권 r인지 안 뜨죠
200,20210104,만 찍는다
202,20210104,혹시 신주인수권 다들 얼마에 파셨나요 ㅠㅠ
203,20210104,신주인수권 사두니 장투되니 좋다 ㅋㅋ
204,20210104,년 월드컵 열기가  증시로
205,20210104,오늘 입성했습니다
206,20210104,오늘 갑기 신주권과 가격차가 벌어졌는디
208,20210104,켁켁육공이를 찾습니다
209,20210104,내일 급등 한다면 완전 리 잡을수 있는 주가네요
210,20210104,이제는 무리인 것 같아요
211,20210104,우리 포케주주분들 새해 복 많이 받으세요
212,20210104,맨날 고점이야기 지겹다
213,20210104,포케 주주분들
214,20210104,장투주린tip먹이사슬 정점에 포케가
215,20210104,신주인수권   상승
216,20210104,포코케미칼R
217,20210104,포코케미칼 R
218,20210104,포코케미칼R 들어와있던데 예수금 넣어두면 알아서 신주 사지는건가요
219,20210104,주주방 별거 없습니다
220,20210104,월 일까지는 만원 안쪽에서 놀듯
222,20210104,산가치주로 등극 예상
223,20210104,오늘 매수한 사람인데요
224,20210104,오늘 포케 시총 조 천백억 실화인겨
225,20210104,공시 하나 떴네요
226,20210104,이미 몇년후의 이익과 성장이 주가에 선반영
227,20210104,공지 포케 총사령관이다
228,20210104,유상증 문의
229,20210104,말기암환로 췌장암을 비롯해 수술없이 가지 암 완전관해 
230,20210104,시총 조원이면 위권
231,20210104,유상증 확정발행가액
232,20210104,LG삼성SK K배터리 글로벌 톱 싹쓸이
233,20210104,오세훈 서울시장 출마 ㅋㅋ 결심 
234,20210104,유증가 차가액보다 높아질수 있습니다
235,20210104,결론은
236,20210104,신주인수권 권리행사
237,20210105,오늘 장 어떨거같음
238,20210105,주린이라죄송합니다유증
239,20210105,대폭락 미국
240,20210105,갈놈은 간다
241,20210105,전고체는 전해질을 고체화하는 것
242,20210105,전고체로 매도를 유도하려던 견들
243,20210105,부탁합니다
244,20210105,전기차 관련주식ㅡㅡ어떤거 있나요
245,20210105,오세훈 서울시장 출마결심 
246,20210105,유상청약 관련 질문 드려요 주린이 ㅠ
247,20210105,신주권오늘까지밖에못사요
249,20210105,포코 케미칼 가치주되었군요
250,20210105,ㄷㄷ 오늘도 불기둥
251,20210105,만 가즈아 
252,20210105,퍼 상승중 
253,20210105,오늘 얼마 까지 봄
254,20210105,관성의 법칙
255,20210105,신주권아직도싸다
256,20210105,포코 너무 올랐네요
257,20210105, 만천원까지갔다가 지금은 천국을맛보는중이다
258,20210105,유상청약에 관한 질문
259,20210105,튀어라
260,20210105,털린사람없죠
261,20210105,천원띄기만 몇번째고 ㅋㅋㅋㅋㅋㅋ
262,20210105,포코도 쭉쭉오르고 케미칼도 쭉쭉오르고 ㅋㅋ
263,20210105,변동성 변수에 관해 주린이 질문드립니다
264,20210105,가성비 신주인수권
265,20210105,이제 허매도를 못 넣네요
266,20210105,제발 원 마감
267,20210105,신주권 만원넘고 못사지말고
268,20210105,아침 신주인수권  추매
269,20210105,차트 다 망가짐 ㅋㅋ
270,20210105,연기금 주 매수 중
271,20210105,목표가 만언
272,20210105,유증 언제끝나나용
273,20210105,만원에 불탈라고 하는데 괜찮을까요 
275,20210105,신주구 매수 후 일에 청약을 꼭해야 되는건가요
276,20210105,포케주주 개미행님들 궁금한게 있습니다
277,20210105,불과달전만해도
278,20210105,아 에 털림
279,20210105,이거 적정주가 원임
280,20210105,역쉬 대장주의 위엄
