,Date,Title
0,20210802,LG화학 목표주가 110만원을 향해  2차 전지 관련 전망은    염승환 이사   염블리   LG화학   현대중공업지주   삼성전자   TSMC   주가   주식  
1,20220113, 주문금액만 1경 원  LG엔솔   뿔난 LG화학 소액주주들   YTN
2,20210222,전기차 배터리 주식 팔아야 하나  LG화학  SK이노베이션이 합의하면 주가는 급등할까    염승환 부장
3,20210526, 국내 주식  배터리 전력 리콜한 LG엔솔  LG화학 주가의 향방은   염승환   염블리   LG전자   덕산네오룩스   LG화학   배터리 리콜
4,20220323,LG화학  성난 주주 달래느라  진땀     주가 부양책 보니  20220323 
5,20220305,주식 종목 분석   제발 제 종목도 부탁해요    염블리   염승환   삼성전기   현대차   LG화학   아시아나항공
6,20211222, 마켓줌인  LG화학  LG엔솔 악재 언제까지     머니투데이방송  증시  증권 
7,20210823,LG화학 하루 만에 시총 7조 증발  주가 회복은 언제쯤    염승환   염블리   LG화학   SK   셀트리온   CJ제일제당
8,20210607,LG화학 주가  에너지솔루션 가치는    디즈니와 넷플릭스  투자포인트 비교   4시에 만나는 미래   2021 6 7 월 
9,20220114,LG화학  LG엔솔 상장 전 투자 전략은    염승환   이트렌드   LG화학   롯데정밀화학   CJ ENM   현대모비스
10,20220617, LG화학  살아있네   기관들이 사모으는 까닭은
11,20220119, 뉴스해설  LG에너지솔루션 물적분할 뒤 공모   70조 원  상장에 소액주주는 없다   KBS 2022 01 19 
12,20220116, 알짜 사업 물적분할 로 주가 하락   소액주주 반발   YTN
13,20220623,LG화학   한화솔루션 中 경기부양 수혜   차홍선 케미칼에너지자문 대표   커넥트오늘내일   성공투자오후증시  한국경제TV
14,20220609,LG화학  신세계인터내셔날  크래프톤  현대일렉트릭_황해수의 주력 종목  20220609 
15,20210318,LG화학  저가매수 기회가 온다   위기의 LG화학  매도 타이밍일까   ft  LG화학 주가전망  전기차 시장 전망 
16,20220701,오프닝벨  오늘장 주요 리포트   삼성전기   LG화학   하이브   한온시스템   LG에너지솔루션
17,20220120,LG에너지솔루션 역대급 청약 경쟁  쪼개기 상장  개미 울상   KBS 2022 01 20 
18,20220120, 4시에 만나는 미래  LG화학  LG엔솔 상장 이후 흐름은    2022 1 20  목 
19,20220620,LG화학 051910     2차전지 소재주   급락장에  공매도 폭탄   7일간 4 2조 쏟아졌다_머선129  20220620 
20,20220623,LG화학  셀트리온헬스케어  F F  에이비엘바이오_황해수의 주력 종목  20220623 
21,20220119,LG에너지솔루션 역대급 청약 경쟁  쪼개기 상장  개미 울상   KBS 2022 01 19 
22,20220323,엔솔뗀 LG화학  전지재료 신약 키운다 
23,20220523, 김종효의 잠금해제  LG화학감소에코프로비엠감소엘앤에프 지금 베팅해야 할 종목은    머니투데이방송  증시  증권 
24,20211209,LG에너지솔루션  LG화학    IPO 본격화  관련주 전략은 _최효은의 투자 인사이트  20211209 
25,20210203,에너지솔루션을 품은 LG화학   올해 또 한번의 성장을 기대할 수 있다 f 이베스트투자증권 이안나 연구위원
26,20220622,4고 高  덮친 코스피 바닥은 아무도 모른다    LG화학  SK이노베이션  현대글로비스  롯데지주   김희석 KB증권 이사   긴급진단   성공투자오후증시  한국경제TV
27,20220429, 역대급 매출  LG화학    시련 딛고 부활하나 _신소장의 시그널  20220429 
28,20220324,LG화학    전지 재료 신약  등 매년 4조 이상 투자   박종운 FI리서치 수석연구원   주식경제   한국경제TV
29,20220209, 이리온  화학 이안나   실적점검  LG에너지솔루션  LG화학  SKC  롯데케미칼 
30,20210531,매도 리포트에 흔들리는 LG화학   현실적 판단 VS 가치 훼손 _오늘아침 page2_권순우  김효진  염승환
31,20220531,LG화학  노터스  씨에스베어링  에코프로비엠_캔들의 이해_제 73강_윤정두의 주식 알고 투자하자  20220531 
32,20211225,숨은 공매도 고수의 한 수  주식을 무조건 팔아야 하는 차트 보여드리죠   네이버  LG화학  데이짱 김영옥 트레이더
33,20220515,미국주식 조정 받을때 이런 종목을 담아라ㅣ삼성전자  카카오  한국조선해양  현대차  LG화학  현대모비스  기아  카카오페이  TSLA  TQQQ
34,20220530, 고수쩐설  지금 사도 괜찮은 LG화학  더 기다려야 하는 LG전자  이것     을 확인 하세요    김영옥 전업투자자
35,20210619,LG에너지솔루션 상장한다는데  2차전지 ETF 종목은 언제 바뀔까   노미의 글로벌 ETF
36,20220617, 삼성SDI  테슬라 원통형 배터리 개발  LG화학감소도레이  분리막 합작   투자뉴스 전략   투자의 아침   한국경제TV
37,20220603,금양 001570     LG화학  中과 배터리 재활용 생태계 확장_오후장 전략  20220603 
38,20220321, 찐시황  어떤 주식으로 돈 벌지  투자 아이디어 5개 이렇게 준비하시죠   주식투자  LG화학  박현상 차장
39,20211223,내년 2차전지 어떻게 투자할까    더부자감소이안나 이베스트증권 연구원
40,20211215, 한종목의 순 달 남  테슬라 LG화학이 고객인 전천후 리튬기업  강봉리튬     2021 12 15  수 
41,20210512,박한샘   SKieT 완벽한 기회를 준비하며   skiet  공모주  lg화학  종목분석
42,20220623, LG화학 종목 특별교육  024년까지 대산에 수소 공장 건설   당뇨 신약 복합제  제미다파   국내 품목허가
43,20220304,LG화학 주가전망 감소 도대체 바닥은 어딜까   이제는 저 또한 화나네요    지분가치 분석과 향후 주가 전망은 
44,20220404, LG엔솔 사태  재발 막는다 모회사 주주 보호 강화   연합뉴스TV  YonhapnewsTV 
45,20220604, 찐시황  나스닥 급락  걱정되시죠  다음 주 증시  이렇게 함께 대응하시죠   LG화학  김민수 대표
46,20220623, 주식 LG화학 진짜 큰흐름이 준비가 되어 있습니다 돈흐름에 집중해야 합니다 모르면안됩니다 LG화학주가전망
47,20220305,LG화학 이사들은 주주를 위한 일하고 있는가   김규식의 주주권리 독립선언  2부 f 김규식 한국기업거버넌스포럼 대표  삼프로TV x 한국기업거버넌스포럼 
49,20220612,미국장과 테슬라  비트코인 향후전망은    삼성전자  한국조선해양  카카오  LG화학  셀트리온  기아  크래프톤  NAVER  TSLA  TQQQ
50,20220609,윤정두의 주식 알고 투자하자 75강  히든종목 공략   LG화학  현대로켐  노터스
51,20220626, 주식 LG화학 성공적인 급등 시그널이 발생합니다 흐름 못타면 수익이 어렵습니다 LG화학주가전망
52,20220511, 이리온  철강 화학 안회수 이안나   이제 배터리 산업 중심은 철강  Top pick POSCO 홀딩스  LG 화학  GEM
53,20220630, LG화학 실시간 전략  LG에너지솔루선 미국 시설 투자 재검토 이슈에 따른 조정   과매도 권역
54,20220622,中 봉쇄 해제  경기 회복 기대    LG화학 한화솔루션 주목_이슈포커스  20220622    차홍선 케미칼에너지투자자문 대표   강혜경 케미칼에너지투자자문 고문
55,20220527, 긴급진단  LG화학 후성 체시스   매일경제TV   이정민 이베스트투자증권 테헤란금융센터 FA팀장
56,20220615, 06월 15일 수   주식  비트코인 이제 바닥 찍었다   삼성SDI  SK하이닉스  삼성전자  LG화학
57,20211227, 홍사훈의 경제쇼  이종우ㅡ부도덕한 물적분할  금융위는 뭐하고있나    KBS 211227 방송
