,Date,Title
0,20220322,고려아연   비철금속에서 2차전지 소재주로 전환   원상준 유안타 인천본부점 과장   주식경제   한국경제TV
1,20220415,고려아연  호주 신재생에너지업체 인수 3800억 유상증자   김선형의 팩트체크   투자의 아침   한국경제TV
2,20220701,롯데쇼핑  DL건설  신일전자  고려아연  현대모비스  삼성에스디에스  알테오젠  한화솔루션  한라홀딩스  웹케시_스피드 종목 10  20220701 
3,20220215,고려아연 010130     경기민감 증가 원자재값 상승 제품 가격 반영   파라다이스 034230     인력 조정을 통한 비용 부담 최소화_개장 관심주  20220215 
4,20220602, 삼성  M A 진행 LGD 협업도  LG감소고려아연  폐배터리 합작  사우디  韓에 원전 입찰  신호   신조선가  최고치   수혜주는   투자뉴스 전략  투자의 아침 한국경제TV
5,20220705, 허반석의 작전 리포트  실적고민 NO 성장성 보장  하반기엔 비철대장주  고려아연    머니투데이방송  증시  증권 
6,20220406, 긴급진단  고려아연 LG에너지솔루션 삼성전자   매일경제TV   손열호 HB투자그룹 팀장
7,20220308, 스태그플레이션 위기감  주목해 볼 비철금속주는   안지선   주식경제 퀀트로 본 증시   한국경제TV
8,20220413,후성  하나머티리얼즈  우리금융지주  제이브이엠  월덱스  고려아연  동국S C  한진  호텔신라  구영테크_스피드 종목 10  20220413 
9,20211202,세아제강지주    해상풍력 성장세 상승 VS 고려아연    국내 대표 비철금속 제련업체_대안주를 찾아라  20211202 
10,20220427, 철강금속소개팅  비가오나 눈이오나 데리러갈게     고려아연
11,20210803,실적 확인 vs 中 불확실성 철강주  투자 판단은    POSCO  고려아연   방민진 유진투자증권 연구위원   애널리스트 뷰   한국경제TV
12,20220622, 2022 베스트 애널리스트에게 듣는다  철강ㆍ비철강탑픽은 고려아연  머니투데이방송  증시  증권 
13,20220527,상위 1  주식초고수의 종목은  HLB 노터스 매수 vs HK이노엔 후성 매도  전윤호   주식경제 주식 초고수의 선택   한국경제TV
14,20220314,기적의 단어 선반영  이번엔 반등 올까    염승환   E트렌드   셀트리온   LG전자   SK이노베이션   고려아연
15,20220610,하이트진로  동성화인텍  TCC스틸  에스엘  고려아연  삼강엠앤티  콜마비앤에이치  티엘비  원티드랩  라파스_스피드 종목 10  20220610 
16,20220603,격동의 반도체 시장  글로벌 초격차 이뤄낼까    노근창 센터장   마켓전략   한국경제TV
17,20220304,케이사인 192250     삼성 등 금융 분야에  DB암호화 솔루션  제공_상위 1  투자병법 시즌2  20220304 
18,20220208,삼성전자 목표주가 상향했지만 이것은 빨리 개선해야    염승환   이트렌드   삼성전자   현대중공업지주   SK하이닉스   고려아연
19,20220101,2022년  이 종목에 걸었다   네패스아크  동진쎄미켐  엠씨넥스  KH바텍  파인테크닉스  LG이노텍  세경하이테크   이진우  최은강  민재기  황유현   주식 발굴단
20,20220304,셀바스AI   AI 융합 제품 실적 본격화   김한상 주식창 고수   주식경제   한국경제TV
21,20220325,엠씨넥스   전장용 카메라 모듈 비중 지속 확대   박영호 주식창 고수   주식경제   한국경제TV
22,20220228,더존비즈온 012510 _종목 상담_김현구의 주식 코치 2부  20220226 
23,20211105,韓 美 디커플링은 사상 최대  매매동향으로 보는 투자 전략   이승조 다인경제 대표   진짜전략   한국경제TV
24,20220104,진원생명과학 011000 _종목 상담_주식 챔피언 쇼  20220104 
25,20220531,효성티앤씨 298020 _종목 상담_주식 챔피언 쇼  20220531 
26,20220701,흥아해운 003280   엠게임 058630   삼성생명 032830 _종목 상담_주식 챔피언 쇼  20220701 
27,20211127,데이타솔루션 브이티지엠피 선데이토즈 삼성전자 램테크놀러지 아가방컴퍼니 SK아이이테크놀로지 세종공업 에이스테크 삼성화재 셀트리온 LG전자_김현구의 주식 코치 1부  20211127 
28,20220507,추세 매매법  2 _황주명의 주식투자지도 111강_대가들의 투자비법  20220506 
29,20220118,한국 주식 하락 원인  바닥은 어디일까    염승환   이트렌드   SK이노베이션   삼성전기   한화솔루션   SK바이오사이언스
30,20220609,포스코케미칼 003670 _종목 상담_주식 챔피언 쇼  20220609 
31,20210715,하나기술    파우치형 전지 조립공정 패키징 장비 삼성SDI 독점 공급   고려아연    LG와 전구체 생산 위한 합작사 설립_내일장 간판주  20210715 
32,20220701,경기 부진에 주저앉은 철강 가격    철강주  안 좋은 예감  20220701 
33,20211105, 뭘스터치  현대차 만큼 성장한 카카오그룹    카카오페이 와 함께 시가총액 5위로
34,20210723,2분기 배당금 얼마 금융사 중간배당 시행
35,20220114,삼아알미늄    2차전지 확장 기대 VS 알루코    LG엔솔과 31년까지 협력_대안주를 찾아라  20220114 
36,20220120,한국 주식 이것 꼭 확인하고 사자    염승환   이트렌드   주식 기초   차트 보는 방법   한국항공우주   한미반도체
37,20220214,배당성향 30  약속 어긴 포스코  뿔난 개미 집단행동 나설까_뉴스IN이슈  20220214 
38,20220604,조지 소로스 등 국제투기자금이 전기차와 전기차 배터리 2차전지 로 이동하고 있다 
39,20220503,에코프로비엠 1분기 매출액 6 625억 전년비 151 6 상승 조호진   공시진단   한국경제TV
40,20220503,악재속에 기회가 있다  매수기회 잡아라   이녹스첨단소재  CJCGV  SK이노베이션  롯데칠성   라스트찬스  한국경제TV
41,20210327,주식투자 이것만 보면 된다 제23강 감소 벤포드 법칙
42,20211130,반도체 가격 변곡점은 언제  2022년 반도체 전망은 _섹터 TALK  반도체주에 퍼기는 온기    적극 매수해야할 시점   2 _주경야톡 19회  20211129 
43,20210630, 주식썰전 LIVE  사상 최대 실적인데 주가는 횡보 철강주에 무슨일이  feat  하이투자증권 김윤상 이사 
44,20220527, 美 GDP  소비 투자  견고  中 내 전기차  대부분 자국산    글로벌 투자뉴스 전략   투자의 아침   한국경제TV
45,20220210,이구산업    치솟는 원자재에 기업들  비상   전략은 _정성일의 투자 인사이트  20220210 
46,20211221, 유료문의  아래 설명 참조  하리하리의 자소서 10분컷  21하  고려아연 회사 지원동기 및 입사 후 포부
47,20220508,미국 긴축정책 금리인상 양적긴축   미국 중국 한국 전기차 배터리 부양정책  에코프로비엠 이수화학 엘앤에프
48,20220619,미국 금리인상 자이언트 스템과 한국 종합지수 2500p 이탈 II  LG에너지솔루션 SK이노베이션 에코프로비엠 엘앤에프 등 배터리   소재주 매수
49,20211014,코로나 피해주 포스코강판  전망을 실적으로도 입증   포스코강판   공시진단   한국경제TV
50,20220426,기산텔레콤 035460   페이퍼코리아 001020 _사가지  20220426 
51,20211028,더블유게임즈    소셜카지노 게임주  주가 롤러코스터 어떤 전략 필요할까   feat  더블유게임즈 _신소장의 시그널  20211028 
52,20220427,낙폭과대주  배터리 소재주  포스코케미칼 일진머티리얼즈 솔루스첨단소재 SKC 한솔케미칼 천보 등
53,20220527,LG디스플레이  034220  감소 LCD사업을 빠르게 철수 해야 하는 이유
54,20220127,KODEX 3대농산물선물 H   SQQQ   Tuttle Capital Short Innovation ETF   LG에너지솔루션_닥터스탁 시즌 2  20220127 
55,20220105,POSCO 자사주 소각 가능성  POSCO 주가의 미래는    염승환   이트렌드   POSCO   삼성SDI   한국항공우주   LG에너지솔루션
56,20220629, 이슈의 재구성  악재 덮친 증시 K감소배터리 향방은    매일경제TV   이건원 메리츠증권 영업부금융세터 부장
57,20220609,휴스틸 005010   고부가가치 사업 주력  실적 개선_알파 공략주  20220609 
58,20220530,조정받는 미국 성장주  원점 복귀 가능할까    김우식 트리플인베스트 대표   김우식의 증시저격   한국경제TV
59,20220525, 신나고 금융시장 포럼  신한금융투자 2022년 하반기 산업 전망
60,20211105,SNT에너지    원전주 기지개 VS 두산중공업    에너지 포트폴리오 다변화_대안주를 찾아라  20211105 
61,20220504,코스닥 오르기에 부담스러운 구간  견뎌라   코오롱인더  LG화학  POSCO홀딩스  피엔티  대원전선  한국전력  뷰웍스   라스트찬스  한국경제TV
62,20220408,한신기계 011700     원전주_테마IN이슈  20220408 
63,20220704, 킹버드 종목전략  220705 대한항공 우리금융지주 하이브 GS건설 고려아연 SK아이이테크놀로지 솔루스첨단소재 대덕전자 매매전략
64,20220520,HLB글로벌  코이즈  대주산업  한신기계  맥스트  고려산업_박영근의 주알투  20220520 
65,20220607,대성에너지 117580   에스와이 109610 _사가지  20220607 
66,20220510,새정부 출범과 투자전략  향후 5년 이끌 주도주는    한화시스템  삼성물산  에너토크  KCC스틸  BGF리테일   라스트찬스  한국경제TV
67,20220616, 자이언트 스텝 에 대한 부담감_시장  어제와 오늘  20220616 
68,20220621,2022 하반기 원자재 시장 전망    글로벌투자라이브 다시보기
69,20220510, 투자뉴스7  추가되는  지하 N층  글로벌 증시 급락 중 CLSA  韓 비중확대  TOP 9    머니투데이방송  증시  증권 
70,20220628,플랫폼 대표 네카오  존버의 자세가 필요하다   KT  한국전력  두산에너빌리티  한미반도체  NAVER  카카오   세컨드찬스   한국경제TV
71,20220531, 삼성감소인텔 동맹  네이버  북미 日 웹툰 공략  한국카본  車부품사 인수  대우건설  매력 없다 vs 톱픽   투자뉴스 전략   투자의 아침   한국경제TV
72,20220618,내 주식 인생을 바꾼 단 하나의 아이디어
73,20220602,삼성전자 M A  로봇 전장  반도체     주가 영향은   20220602 
74,20220521,동학개미는 엘앤에프 에코프로비엠  서학개미는 리비안 루시드 니오  테슬라 매도하고 엘앤에프로 이동하라 
75,20220607,금호석유  SK바이오사이언스  현대엔지니어링  현대차_공시 뉴스  20220607 
76,20220612,2022년 주도주 전기차 배터리 SK이노베이션 LG화학   소재주 에코프로비엠 엘앤에프
77,20220530,6월 빗장 여는 중국 철강   화학주 기회    대한유화   최수창 와우넷 파트너   이삼공 종목캐치   성공투자오후증시   한국경제TV
78,20211117,세아제강지주    나도 풍력 관련주 VS 삼성중공업    LNG선 호재 소식_대안주를 찾아라  20211117 
79,20220225,제이씨케미칼    유가상승 수혜 VS 사조동아원    JP모건 110만주 순매수_대안주를 찾아라  20220225 
80,20220705, 신의 한수  최원범 s 신의 한 수 종목   조광ILI   머니투데이방송  증시  증권 
81,20220603,LG디스플레이  034220  감소 LG디플의 수급  해석해드리겠습니다
82,20220602,악재보단 호재가 부각되는 시장  안정을 찾아가는중   LG디스플레이  현대제철  POSCO홀딩스  CJCGV  스튜디오드래곤   세컨드찬스   한국경제TV
83,20220425, 김종효의 잠금해제  JYP Ent  vs 에스엠 같은 듯 다른 행보 베팅할 종목은 어디인가    머니투데이방송  증시  증권 
84,20220627,종목 진단 내일장 투자 전략  진짜쉬운진단 풀버전 
85,20220621,확실한 방향성  장기투자할 반도체주   대덕전자  KH바텍  한진칼  삼양식품   세컨드찬스   한국경제TV
86,20220321,SK에코플랜트  내년 하반기 상장 추진    주관사 선정 착수  20220321 
87,20220315,러시아 전쟁만 끝나면 빠르게 이 주식은  강하게  반등합니다  
88,20220523,버핏처럼 시장을 바라보고 애크먼처럼 종목에 접근하자   김우식 트리플인베스트 대표   김우식의 증시저격   한국경제TV
89,20220418,위메이드 112040     美 긴축 가속화에 성장주 투자심리 악화_최악의 맛_이데일리맵 오현진_런앤런 63회  20220416 
90,20210525,한빛소프트 047080     2030년 메타버스 1 700조 시장 전망_주미남  마패 도전 종목 _대박친구 2부  20210524 
91,20220630, 0630 대포차   LG생활건강 주가 반등 속 투자의견 상향  BGF리테일 얼마만의 목표주가 상승  알테오젠 기대되는 바이오텍 기업
92,20211229, 맞수한판  LG디스플레이  주가 쏠 수 있을까    에스티팜 주목해야 하는 이유 있다    맞수한판   매일경제TV
93,20211227,네오셈 253590     5세대 SSD 테스터 기반 기술 확보_알파 공략주  20211227 
94,20211221,모바일어플라이언스 087260     정부의  미래차  관련 예산 확대 수혜 기대_오후장 공략주  20211221 
95,20220502,5월에 팔아라  4월에도 하락했었다   삼성전자  현대차  기아  에스엠  하이브  삼강엠앤티  OCI   라스트찬스  한국경제TV
96,20210728,삼성SDI  2분기 매출 사상 최대치 기록  하반기도 질주 이어 갈까    염승환 이사   염블리   삼성SDI   SK하이닉스   삼성전자   LG화학   주가   주식  
97,20211201,현대제철 004020     철강주   반발 매수     현대제철 등 철강주  장중 주가 급등 _머선129  20211201 
98,20220207,줄리안 엠마누엘 에버코어 ISI 수석전략가    카라 롬바르도 월스트리트저널 기자    캐시 사이페르트 CFRA 리서치 애널리스트 _셀럽은 말했지  20220207 
99,20220629,미 증시  소비자신뢰지수 리치몬드 연은지수 둔화에 급락 마감  수급戰  투데이 위너   마켓 10 
100,20220429, 역대급 매출  LG화학    시련 딛고 부활하나 _신소장의 시그널  20220429 
101,20220124,하락장에 조정시 모아야할 업종   퍼스텍  S감소OIL  오리온  하이트진로  휴마시스  씨젠  GST  심텍  바이브컴퍼니  삼성SDI   라스트찬스   한국경제TV
102,20220125, 상장 D감소day  LG에너지솔루션 주가 시나리오별 매도 전략
103,20220702,반도체 전공정 핵심장비 ALD  기업 주성엔지니어링 기업분석 주가전망  분석시점 220622 
104,20220113,엔브이에이치코리아    실적 호조 지속 VS 덕양산업    자동차에서 2차전지로 확장_대안주를 찾아라  20220113 
105,20220608,  오늘자 마지막 마감영상 입니다   장중점검에 나오는 종목들은 거의 다 있습니다 
106,20220208,글로벌텍스프리 204620     외국인 관광객에게 내국세 환급을 대행_알파 공략주  20220208 
107,20220623, 생쇼 종목추천  폭염 시작 수혜주 신일전자   생쇼 박병주   매일경제TV
108,20220602,네오셈    올해 인텔 신제품 출시  SSD 테스터 수요 증가   에이비온    폐암 후보물질 임상 1상  유효성 데이터 확보_개장 관심주  20220602 
109,20220317,유틸렉스 263050      키투르다  급여 적용 관련 수혜 기대_알파 공략주  20220317 
110,20210512,조이시티 067000     하반기  프로젝트M  출시 후 매출 증대 전망_주식어부  마패 도전 종목 _대박친구 2부  20210511 
111,20220610, 라이브  대한민국 대표 재테크 채널 매일경제TV
112,20220427,지금은 대형주보단 중소형주를 볼때   셀트리온  경동도시가스  씨에스윈드  동국S C  두산에너빌리티  인텍플러스   라스트찬스  한국경제TV
113,20220610,크래프톤 엔씨소프트  맑음     한국 게임  콘솔시장 베팅_신소장의 시그널  20220610 
114,20220427, LG에너지솔루션   보호예수 해제   테슬라 쇼크에 약세 지금 저가매수 타이밍    증시이슈   2차전지  실적 
115,20220405,엔지켐생명과학  호중구감소증 2상 자진중단  이유는 _이슈 TALK_주경야톡 36회  20220404 
116,20220513,배터리 업계 핫이슈  전구체 내재화   에코프로 코스모신소재이엔드디 하나기술 디와이피엔에프   상승의트리거   한국경제TV
117,20220323,  마감브리핑 3부   우리모두 즐겁게 투자 하셨으면 좋겠습니다   
118,20220517,악재속에 기회가 있다  매수기회 잡아라   DB하이텍  LG헬로비전  F F  티웨이항공   라스트찬스  한국경제TV
119,20220614,OLED 부품 독점 공급  기대감에 매수하자    SK이노베이션  이수페타시스  심텍  하이브  LX세미콘   세컨드찬스   한국경제TV
120,20220518,GS글로벌 LX인터내셔널    전세계 석탄대란  초비상     석탄 가격 급등 수혜 찾아라_신소장의 시그널  20220518 
121,20220608,6 8 오전 주식 방송
122,20220520, 네이버  카카오  위메이드  넷마블  효성오앤비  미래생명자원  팬오션  JYP  대주산업  해성디에스  이수페타시스  대덕전자  ISC  나노신소재  코스모신소재  다날  풍산
123,20220614, 삼성전자  SK하이닉스  현대차  기아  네이버  카카오  후성  삼성전기  심텍  한전기술  해성디에스  엘앤에프  HMM  나노신소재  비에이치  대덕전자  ISC  대창단조
124,20220705, 허반석의 작전리포트   환율 수수료 원자재가격 상승에 실적 걱정 뚝   _ 고려아연
125,20220704,주식투자 경험 및 시장에 대한 의견 그리고 결국엔 멘탈이 가장 중요
126,20220324,3대 지수  하락 마감   WTI  115달러 대 향해 가는 중_글로벌 마감 증시  20220324 
127,20220622,2차전지는 강하다 5연속 컨센 상향 
128,20220607,6 7 오전 주식 방송
129,20220429,220429 달러감소원 환율 급등  추세일까 일시적일까 l 미 달러의 일방적인 독주와 맥을 못 추는 주요 통화들 l 리서치센터 모닝브리프
